Trip,location,date,method,set,start time,end time,total time,time.hrs,catch 
5,dumping zone,25/2/2024,dropline,8,7:20,17:19,9:59,9.98,0
5,dumping zone,25/2/2024,dropline,3,7:34,17:35,10:01,10.02,0
5,dumping zone,25/2/2024,dropline,7,7:35,17:24,9:49,9.82,1
5,dumping zone,25/2/2024,dropline,2,7:47,17:22,9:35,9.58,0
5,dumping zone,25/2/2024,dropline,4,7:55,17:20,9:25,9.42,1
5,dumping zone,25/2/2024,dropline,10,9:00,17:21,8:21,8.35,1
5,dumping zone,25/2/2024,dropline,6,9:10,17:39,8:29,8.48,0
5,dumping zone,26/2/2024,dropline,8,6:26,16:55,10:29,10.48,0
5,dumping zone,26/2/2024,dropline,1,6:37,16:49,10:12,10.20,0
5,dumping zone,26/2/2024,dropline,3,6:39,17:02,10:23,10.38,0
5,dumping zone,26/2/2024,dropline,6,6:42,17:04,10:22,10.36,0
5,dumping zone,26/2/2024,dropline,9,6:44,17:06,10:22,10.36,0
5,dumping zone,26/2/2024,dropline,5,6:45,17:09,10:24,10.40,0
5,dumping zone,26/2/2024,dropline,7,6:47,17:11,10:24,10.40,1
5,dumping zone,26/2/2024,dropline,2,6:50,17:15,10:25,10.42,1
5,dumping zone,26/2/2024,dropline,10,6:52,17:18,10:26,10.43,1
5,dumping zone,26/2/2024,dropline,4,6:54,17:21,10:27,10.45,0
5,dumping zone,22/2/2024,ROV survey,1,15:05,15:27,0:22,0.37,1
5,dumping zone,22/2/2024,ROV survey,2,15:39,15:49,0:10,0.17,1
5,dumping zone,22/2/2024,ROV survey,3,18:27,18:34,0:07,0.12,0
5,dumping zone,22/2/2024,ROV survey,4,18:47,18:49,0:02,0.03,0
5,dumping zone,23/2/2024,ROV survey,1,5:39,5:47,0:08,0.13,0
5,dumping zone,23/2/2024,ROV survey,2,5:49,5:55,0:06,0.10,0
5,dumping zone,23/2/2024,ROV survey,3,13:44,14:35,0:51,0.85,2
5,dumping zone,23/2/2024,ROV survey,4,15:00,15:35,0:35,0.58,0
5,dumping zone,23/2/2024,ROV survey,5,17:20,17:50,0:30,0.50,0
5,dumping zone,23/2/2024,ROV survey,6,18:31,18:45,0:14,0.23,0
5,dumping zone,23/2/2024,ROV survey,7,18:47,19:17,0:30,0.5,0
5,dumping zone,24/2/2024,ROV survey,1,5:07,5:10,0:03,0.05,0
5,dumping zone,24/2/2024,ROV survey,2,5:20,5:24,0:04,0.07,0
5,dumping zone,24/2/2024,ROV survey,3,15:00,15:36,0:36,0.6,5
5,dumping zone,25/2/2024,ROV survey,1,9:33,10:10,0:37,0.62,2
5,dumping zone,25/2/2024,ROV survey,4,12:17,12:53,0:36,0.60,1
5,dumping zone,25/2/2024,ROV survey,5,16:50,17:20,0:30,0.50,2
5,dumping zone,25/2/2024,ROV survey,6,17:30,18:00,0:30,0.50,1
5,dumping zone,25/2/2024,ROV survey,7,18:35,18:58,0:23,0.38,2
5,dumping zone,26/2/2024,ROV survey,1,13:00,13:30,0:30,0.50,0
5,dumping zone,26/2/2024,ROV survey,2,13:40,14:10,0:30,0.50,0
5,dumping zone,26/2/2024,ROV survey,3,15:04,15:40,0:36,0.60,0
5,dumping zone,26/2/2024,ROV survey,4,16:10,16:43,0:33,0.55,0
